Дата;Тип операции;Сумма;Контрагент;Назначение платежа
12.01.2026;Поступление;280 000,00;ООО "Альфа Трейд";Оплата по счету № 12 от 10.01.2026 за услуги
15.01.2026;Поступление;150 000,00;ИП Смирнов А.В.;Оплата по договору № 7 за консультационные услуги
05.01.2026;Списание;85 000,00;ООО "БизнесПарк";Аренда офиса за январь 2026 по договору № 14-А
10.01.2026;Списание;120 000,00;Сотрудники по реестру;Зарплата за вторую половину декабря по реестру № 1
25.01.2026;Списание;125 000,00;Сотрудники по реестру;Аванс сотрудникам за январь по реестру № 2
20.01.2026;Списание;42 000,00;ИФНС № 7;ЕНС единый налоговый платеж УСН за 4 квартал
28.01.2026;Списание;30 000,00;ООО "Яндекс";Оплата рекламной кампании Яндекс Директ
31.01.2026;Списание;1 990,00;АО "Банк Точка";Комиссия за обслуживание счета за январь
18.01.2026;Списание;95 000,00;ООО "СнабСервис";Закупка товара по счету № 88
22.01.2026;Списание;4 900,00;ООО "Облако Сервис";Подписка на сервис CRM, тариф Бизнес
09.02.2026;Поступление;310 000,00;ООО "Альфа Трейд";Оплата по счету № 19 за услуги
17.02.2026;Поступление;180 000,00;ООО "Бета Маркет";Оплата по договору поставки № 3 за товар
03.02.2026;Списание;85 000,00;ООО "БизнесПарк";Аренда офиса за февраль 2026 по договору № 14-А
10.02.2026;Списание;128 000,00;Сотрудники по реестру;Зарплата за вторую половину января по реестру № 3
25.02.2026;Списание;125 000,00;Сотрудники по реестру;Аванс сотрудникам за февраль по реестру № 4
15.02.2026;Списание;36 500,00;СФР;Страховые взносы за январь 2026
26.02.2026;Списание;32 000,00;ООО "Яндекс";Оплата рекламной кампании Яндекс Директ
28.02.2026;Списание;1 990,00;АО "Банк Точка";Комиссия за обслуживание счета за февраль
12.02.2026;Списание;110 000,00;ООО "СнабСервис";Закупка товара по счету № 102
20.02.2026;Списание;12 400,00;ООО "СДЭК-Глобал";Доставка заказов клиентам за январь
14.02.2026;Списание;100 000,00;Свой счет;Перевод собственных средств на депозит
11.03.2026;Поступление;295 000,00;ООО "Альфа Трейд";Оплата по счету № 27 за услуги
19.03.2026;Поступление;205 000,00;ООО "Бета Маркет";Оплата по договору поставки № 3 за товар
24.03.2026;Поступление;90 000,00;ИП Смирнов А.В.;Аванс по договору № 11 за услуги
04.03.2026;Списание;85 000,00;ООО "БизнесПарк";Аренда офиса за март 2026 по договору № 14-А
10.03.2026;Списание;130 000,00;Сотрудники по реестру;Зарплата за вторую половину февраля по реестру № 5
25.03.2026;Списание;125 000,00;Сотрудники по реестру;Аванс сотрудникам за март по реестру № 6
17.03.2026;Списание;38 200,00;СФР;Страховые взносы за февраль 2026
27.03.2026;Списание;35 000,00;ООО "Яндекс";Оплата рекламной кампании Яндекс Директ
31.03.2026;Списание;1 990,00;АО "Банк Точка";Комиссия за обслуживание счета за март
13.03.2026;Списание;105 000,00;ООО "СнабСервис";Закупка товара по счету № 117
21.03.2026;Списание;13 800,00;ООО "СДЭК-Глобал";Доставка заказов клиентам за февраль
30.03.2026;Списание;80 000,00;Мельников О.И.;Выплата дивидендов учредителю за 2025 год
08.04.2026;Поступление;330 000,00;ООО "Альфа Трейд";Оплата по счету № 35 за услуги
16.04.2026;Поступление;175 000,00;ООО "Бета Маркет";Оплата по договору поставки № 3 за товар
02.04.2026;Списание;85 000,00;ООО "БизнесПарк";Аренда офиса за апрель 2026 по договору № 14-А
10.04.2026;Списание;132 000,00;Сотрудники по реестру;Зарплата за вторую половину марта по реестру № 7
15.04.2026;Списание;39 100,00;СФР;Страховые взносы за март 2026
22.04.2026;Списание;28 000,00;ООО "Яндекс";Оплата рекламной кампании Яндекс Директ
18.04.2026;Списание;6 500,00;ООО "Гермес Консалт";Бухгалтерское обслуживание за апрель
